Date,US,UK
Jan '21,1.4,0.7
Feb '21,1.7,0.4
Mar '21,2.6,0.7
Apr '21,4.2,1.5
May '21,5,2.1
Jun '21,5.4,2.5
Jul '21,5.4,2
Aug '21,5.3,3.2
Sep '21,5.4,3.1
Oct '21,6.2,4.2
Nov '21,6.8,5.1
Dec '21,7,5.4
Jan '22,7.5,5.5
Feb '22,7.9,6.2
Mar '22,8.5,7
Apr '22,8.3,9
May '22,8.6,9.1
Jun '22,9.1,9.4
Jul '22,8.5,10.1
Aug '22,8.3,9.9
Sep '22,8.2,10.1
Oct '22,7.7,11.1
Nov '22,7.1,10.7
Dec '22,6.5,10.5
Jan '23,6.4,10.1
Feb '23,6,10.4
Mar '23,5,10.1
Apr '23,4.9,8.7
May '23,4,8.7
Jun '23,3,7.9
Jul '23,3.2,6.8
Aug '23,3.7,6.7
Sep '23,3.7,6.7
Oct '23,3.2,4.6
Nov '23,3.1,3.9
Dec '23,3.4,4
Jan '24,3.1,4
Feb '24,3.2,3.4
Mar '24,3.5,3.2
Apr '24,3.4,2.3
May '24,3.3,2
Jun '24,3,2
Jul '24,2.9,2.2
Aug '24,2.5,2.2
Sep '24,2.4,1.7
Oct '24,2.6,2.3
Nov '24,2.7,2.6
Dec '24,2.9,2.5
Jan '25,3,3
Feb '25,2.8,2.8